10	9.719e-06	1.072e-05	1.19725e-05	1.3576e-05	2.3194e-05
20	2.5838e-05	0.000211507	0.00041503	0.000760919	0.0108151
30	4.5085e-05	5.01695e-05	5.5239e-05	0.000142052	0.000592042
40	7.0653e-05	7.3373e-05	7.5512e-05	0.000124254	0.000527711
50	0.000100419	0.000104416	0.000109626	0.000233593	0.000555202
60	0.000139953	0.000149275	0.000156348	0.000438508	0.00151632
70	0.000183635	0.000193593	0.000212214	0.000424467	0.000905891
80	0.000232096	0.00024713	0.000292233	0.000488632	0.000939765
90	0.000285957	0.000308575	0.000411057	0.000655816	0.00122675
100	0.000354305	0.000399025	0.000505557	0.00068685	0.00214935
110	0.000428995	0.000523804	0.000665414	0.00085195	0.0144919
120	0.000494268	0.000580064	0.000674176	0.000884321	0.00192571
130	0.000637226	0.000688373	0.000848433	0.00112576	0.0114251
140	0.00069254	0.000783371	0.000946492	0.00119898	0.00301712
150	0.000790334	0.000859273	0.00095048	0.0014214	0.00770577
160	0.00093191	0.000982536	0.00109533	0.00148799	0.00315882
170	0.00103159	0.00111299	0.00120237	0.001446	0.00726497
180	0.0011059	0.00126949	0.00139171	0.00155604	0.0110858
190	0.00127301	0.00139431	0.00150719	0.00180479	0.00375002
200	0.00145836	0.00159247	0.00179038	0.00203854	0.00410468
210	0.00161396	0.00175957	0.00182616	0.00218492	0.00836104
220	0.00181735	0.00203667	0.00220531	0.00241801	0.00436347
230	0.00204669	0.00212734	0.00229132	0.00259361	0.00397556
240	0.00215459	0.00236703	0.00258615	0.00289511	0.00547982
250	0.00241159	0.00261316	0.00300403	0.00339695	0.00559195
260	0.00271461	0.0029218	0.00342045	0.00396931	0.00568536
270	0.00316962	0.00332646	0.00404637	0.0044273	0.00971466
280	0.00340528	0.0035138	0.00389657	0.00434077	0.00550552
290	0.00370013	0.00404496	0.00446239	0.00482244	0.0120711
300	0.00402705	0.00456904	0.00488287	0.00537844	0.00765698
310	0.00445888	0.00489302	0.00528115	0.00567026	0.00755626
320	0.00480365	0.00536532	0.00583422	0.00626542	0.00713663
330	0.00523505	0.0056301	0.00606857	0.00657133	0.0105573
340	0.00556972	0.00621953	0.00646588	0.00687823	0.00833441
350	0.00601613	0.00675285	0.00719479	0.00783546	0.00965003
360	0.00663152	0.00735996	0.00794887	0.00942874	0.0391041
370	0.00683795	0.00802795	0.00846886	0.0091813	0.0192929
380	0.00708439	0.0083698	0.0090058	0.00984021	0.0207817
390	0.00829467	0.00908868	0.0096719	0.0104421	0.0256585
400	0.00860722	0.00963318	0.0106268	0.0112265	0.0199613
410	0.00847643	0.0101345	0.010661	0.0117057	0.0188353
420	0.00985657	0.0104617	0.0109968	0.0121165	0.017941
430	0.00993278	0.0103937	0.0114307	0.0137905	0.020715
440	0.0103921	0.010764	0.0110957	0.0126507	0.0227405
450	0.0106645	0.011231	0.0119514	0.0134161	0.1056510
460	0.0114586	0.0121166	0.013508	0.0144969	0.0376877
470	0.0116816	0.0132055	0.0139413	0.0150409	0.0211948
480	0.0118714	0.0129528	0.013995	0.0152492	0.0315915
490	0.0114968	0.0134811	0.0150946	0.0172831	0.046279
500	0.0129144	0.0136827	0.0143654	0.0151275	0.0206424
